"date","LineDescription","rate"
"539",2012-03-18,"PCE excluding food and energy",2.1
"540",2012-03-18,"Gross domestic product (GDP)",1.6
"541",2012-03-19,"Unemployment rate",8.3
"542",2012-03-19,"Federal funds rate",0.12
"543",2012-03-19,"Personal consumption expenditures (PCE)",2.58
"544",2012-03-19,"PCE excluding food and energy",2.1
"545",2012-03-19,"Gross domestic product (GDP)",1.6
"546",2012-03-20,"Unemployment rate",8.3
"547",2012-03-20,"Federal funds rate",0.12
"548",2012-03-20,"Personal consumption expenditures (PCE)",2.58
"549",2012-03-20,"PCE excluding food and energy",2.1
"550",2012-03-20,"Gross domestic product (GDP)",1.6
"551",2012-03-21,"Unemployment rate",8.3
"552",2012-03-21,"Federal funds rate",0.12
"553",2012-03-21,"Personal consumption expenditures (PCE)",2.58
"554",2012-03-21,"PCE excluding food and energy",2.1
"555",2012-03-21,"Gross domestic product (GDP)",1.6
"556",2012-03-22,"Unemployment rate",8.3
"557",2012-03-22,"Federal funds rate",0.12
"558",2012-03-22,"Personal consumption expenditures (PCE)",2.58
"559",2012-03-22,"PCE excluding food and energy",2.1
"560",2012-03-22,"Gross domestic product (GDP)",1.6
"561",2012-03-23,"Unemployment rate",8.3
"562",2012-03-23,"Federal funds rate",0.12
"563",2012-03-23,"Personal consumption expenditures (PCE)",2.58
"564",2012-03-23,"PCE excluding food and energy",2.1
"565",2012-03-23,"Gross domestic product (GDP)",1.6
"566",2012-03-24,"Unemployment rate",8.3
"567",2012-03-24,"Federal funds rate",0.12
"568",2012-03-24,"Personal consumption expenditures (PCE)",2.58
"569",2012-03-24,"PCE excluding food and energy",2.1
"570",2012-03-24,"Gross domestic product (GDP)",1.6
"571",2012-03-25,"Unemployment rate",8.3
"572",2012-03-25,"Federal funds rate",0.12
"573",2012-03-25,"Personal consumption expenditures (PCE)",2.58
"574",2012-03-25,"PCE excluding food and energy",2.1
"575",2012-03-25,"Gross domestic product (GDP)",1.6
"576",2012-03-26,"Unemployment rate",8.3
"577",2012-03-26,"Federal funds rate",0.12
"578",2012-03-26,"Personal consumption expenditures (PCE)",2.58
"579",2012-03-26,"PCE excluding food and energy",2.1
"580",2012-03-26,"Gross domestic product (GDP)",1.6
"581",2012-03-27,"Unemployment rate",8.3
"582",2012-03-27,"Federal funds rate",0.12
"583",2012-03-27,"Personal consumption expenditures (PCE)",2.58
"584",2012-03-27,"PCE excluding food and energy",2.1
"585",2012-03-27,"Gross domestic product (GDP)",1.6
"586",2012-03-28,"Unemployment rate",8.3
"587",2012-03-28,"Federal funds rate",0.12
"588",2012-03-28,"Personal consumption expenditures (PCE)",2.58
"589",2012-03-28,"PCE excluding food and energy",2.1
"590",2012-03-28,"Gross domestic product (GDP)",1.6
"591",2012-03-29,"Unemployment rate",8.3
"592",2012-03-29,"Federal funds rate",0.12
"593",2012-03-29,"Personal consumption expenditures (PCE)",2.58
"594",2012-03-29,"PCE excluding food and energy",2.1
"595",2012-03-29,"Gross domestic product (GDP)",1.6
"596",2012-03-30,"Unemployment rate",8.3
"597",2012-03-30,"Federal funds rate",0.12
"598",2012-03-30,"Personal consumption expenditures (PCE)",2.58
"599",2012-03-30,"PCE excluding food and energy",2.1
"600",2012-03-30,"Gross domestic product (GDP)",1.6
"601",2012-03-31,"Unemployment rate",8.2
"602",2012-03-31,"Federal funds rate",0.12
"603",2012-03-31,"Personal consumption expenditures (PCE)",2.35
"604",2012-03-31,"PCE excluding food and energy",2.11
"605",2012-03-31,"Gross domestic product (GDP)",2.7
"606",2012-04-01,"Unemployment rate",8.2
"607",2012-04-01,"Federal funds rate",0.12
"608",2012-04-01,"Personal consumption expenditures (PCE)",2.35
"609",2012-04-01,"PCE excluding food and energy",2.11
"610",2012-04-01,"Gross domestic product (GDP)",2.7
"611",2012-04-02,"Unemployment rate",8.2
"612",2012-04-02,"Federal funds rate",0.12
"613",2012-04-02,"Personal consumption expenditures (PCE)",2.35
"614",2012-04-02,"PCE excluding food and energy",2.11
"615",2012-04-02,"Gross domestic product (GDP)",2.7
"616",2012-04-03,"Unemployment rate",8.2
"617",2012-04-03,"Federal funds rate",0.12
"618",2012-04-03,"Personal consumption expenditures (PCE)",2.35
"619",2012-04-03,"PCE excluding food and energy",2.11
"620",2012-04-03,"Gross domestic product (GDP)",2.7
"621",2012-04-04,"Unemployment rate",8.2
"622",2012-04-04,"Federal funds rate",0.12
"623",2012-04-04,"Personal consumption expenditures (PCE)",2.35
"624",2012-04-04,"PCE excluding food and energy",2.11
"625",2012-04-04,"Gross domestic product (GDP)",2.7
"626",2012-04-05,"Unemployment rate",8.2
"627",2012-04-05,"Federal funds rate",0.12
"628",2012-04-05,"Personal consumption expenditures (PCE)",2.35
"629",2012-04-05,"PCE excluding food and energy",2.11
"630",2012-04-05,"Gross domestic product (GDP)",2.7
"631",2012-04-06,"Unemployment rate",8.2
"632",2012-04-06,"Federal funds rate",0.12
"633",2012-04-06,"Personal consumption expenditures (PCE)",2.35
"634",2012-04-06,"PCE excluding food and energy",2.11
"635",2012-04-06,"Gross domestic product (GDP)",2.7
"636",2012-04-07,"Unemployment rate",8.2
"637",2012-04-07,"Federal funds rate",0.12
"638",2012-04-07,"Personal consumption expenditures (PCE)",2.35
"639",2012-04-07,"PCE excluding food and energy",2.11
"640",2012-04-07,"Gross domestic product (GDP)",2.7
"641",2012-04-08,"Unemployment rate",8.2
"642",2012-04-08,"Federal funds rate",0.12
"643",2012-04-08,"Personal consumption expenditures (PCE)",2.35
"644",2012-04-08,"PCE excluding food and energy",2.11
"645",2012-04-08,"Gross domestic product (GDP)",2.7
"646",2012-04-09,"Unemployment rate",8.2
"647",2012-04-09,"Federal funds rate",0.12
"648",2012-04-09,"Personal consumption expenditures (PCE)",2.35
"649",2012-04-09,"PCE excluding food and energy",2.11
"650",2012-04-09,"Gross domestic product (GDP)",2.7
"651",2012-04-10,"Unemployment rate",8.2
"652",2012-04-10,"Federal funds rate",0.12
"653",2012-04-10,"Personal consumption expenditures (PCE)",2.35
"654",2012-04-10,"PCE excluding food and energy",2.11
"655",2012-04-10,"Gross domestic product (GDP)",2.7
"656",2012-04-11,"Unemployment rate",8.2
"657",2012-04-11,"Federal funds rate",0.12
"658",2012-04-11,"Personal consumption expenditures (PCE)",2.35
"659",2012-04-11,"PCE excluding food and energy",2.11
"660",2012-04-11,"Gross domestic product (GDP)",2.7
"661",2012-04-12,"Unemployment rate",8.2
"662",2012-04-12,"Federal funds rate",0.12
"663",2012-04-12,"Personal consumption expenditures (PCE)",2.35
"664",2012-04-12,"PCE excluding food and energy",2.11
"665",2012-04-12,"Gross domestic product (GDP)",2.7
"666",2012-04-13,"Unemployment rate",8.2
"667",2012-04-13,"Federal funds rate",0.12
"668",2012-04-13,"Personal consumption expenditures (PCE)",2.35
"669",2012-04-13,"PCE excluding food and energy",2.11
"670",2012-04-13,"Gross domestic product (GDP)",2.7
"671",2012-04-14,"Unemployment rate",8.2
"672",2012-04-14,"Federal funds rate",0.12
"673",2012-04-14,"Personal consumption expenditures (PCE)",2.35
"674",2012-04-14,"PCE excluding food and energy",2.11
"675",2012-04-14,"Gross domestic product (GDP)",2.7
"676",2012-04-15,"Unemployment rate",8.2
"677",2012-04-15,"Federal funds rate",0.12
"678",2012-04-15,"Personal consumption expenditures (PCE)",2.35
"679",2012-04-15,"PCE excluding food and energy",2.11
"680",2012-04-15,"Gross domestic product (GDP)",2.7
"681",2012-04-16,"Unemployment rate",8.2
"682",2012-04-16,"Federal funds rate",0.12
"683",2012-04-16,"Personal consumption expenditures (PCE)",2.35
"684",2012-04-16,"PCE excluding food and energy",2.11
"685",2012-04-16,"Gross domestic product (GDP)",2.7
"686",2012-04-17,"Unemployment rate",8.2
"687",2012-04-17,"Federal funds rate",0.12
"688",2012-04-17,"Personal consumption expenditures (PCE)",2.35
"689",2012-04-17,"PCE excluding food and energy",2.11
"690",2012-04-17,"Gross domestic product (GDP)",2.7
"691",2012-04-18,"Unemployment rate",8.2
"692",2012-04-18,"Federal funds rate",0.12
"693",2012-04-18,"Personal consumption expenditures (PCE)",2.35
"694",2012-04-18,"PCE excluding food and energy",2.11
"695",2012-04-18,"Gross domestic product (GDP)",2.7
"696",2012-04-19,"Unemployment rate",8.2
"697",2012-04-19,"Federal funds rate",0.12
"698",2012-04-19,"Personal consumption expenditures (PCE)",2.35
"699",2012-04-19,"PCE excluding food and energy",2.11
"700",2012-04-19,"Gross domestic product (GDP)",2.7
"701",2012-04-20,"Unemployment rate",8.2
"702",2012-04-20,"Federal funds rate",0.12
"703",2012-04-20,"Personal consumption expenditures (PCE)",2.35
"704",2012-04-20,"PCE excluding food and energy",2.11
"705",2012-04-20,"Gross domestic product (GDP)",2.7
"706",2012-04-21,"Unemployment rate",8.2
"707",2012-04-21,"Federal funds rate",0.12
"708",2012-04-21,"Personal consumption expenditures (PCE)",2.35
"709",2012-04-21,"PCE excluding food and energy",2.11
"710",2012-04-21,"Gross domestic product (GDP)",2.7
"711",2012-04-22,"Unemployment rate",8.2
"712",2012-04-22,"Federal funds rate",0.12
"713",2012-04-22,"Personal consumption expenditures (PCE)",2.35
"714",2012-04-22,"PCE excluding food and energy",2.11
"715",2012-04-22,"Gross domestic product (GDP)",2.7
"716",2012-04-23,"Unemployment rate",8.2
"717",2012-04-23,"Federal funds rate",0.12
"718",2012-04-23,"Personal consumption expenditures (PCE)",2.35
"719",2012-04-23,"PCE excluding food and energy",2.11
"720",2012-04-23,"Gross domestic product (GDP)",2.7
"721",2012-04-24,"Unemployment rate",8.2
"722",2012-04-24,"Federal funds rate",0.12
"723",2012-04-24,"Personal consumption expenditures (PCE)",2.35
"724",2012-04-24,"PCE excluding food and energy",2.11
"725",2012-04-24,"Gross domestic product (GDP)",2.7
"726",2012-04-25,"Unemployment rate",8.2
"727",2012-04-25,"Federal funds rate",0.12
"728",2012-04-25,"Personal consumption expenditures (PCE)",2.35
"729",2012-04-25,"PCE excluding food and energy",2.11
"730",2012-04-25,"Gross domestic product (GDP)",2.7
"731",2012-04-26,"Unemployment rate",8.2
"732",2012-04-26,"Federal funds rate",0.12
"733",2012-04-26,"Personal consumption expenditures (PCE)",2.35
"734",2012-04-26,"PCE excluding food and energy",2.11
"735",2012-04-26,"Gross domestic product (GDP)",2.7
"736",2012-04-27,"Unemployment rate",8.2
"737",2012-04-27,"Federal funds rate",0.12
"738",2012-04-27,"Personal consumption expenditures (PCE)",2.35
"739",2012-04-27,"PCE excluding food and energy",2.11
"740",2012-04-27,"Gross domestic product (GDP)",2.7
"741",2012-04-28,"Unemployment rate",8.2
"742",2012-04-28,"Federal funds rate",0.12
"743",2012-04-28,"Personal consumption expenditures (PCE)",2.35
"744",2012-04-28,"PCE excluding food and energy",2.11
"745",2012-04-28,"Gross domestic product (GDP)",2.7
"746",2012-04-29,"Unemployment rate",8.2
"747",2012-04-29,"Federal funds rate",0.12
"748",2012-04-29,"Personal consumption expenditures (PCE)",2.35
"749",2012-04-29,"PCE excluding food and energy",2.11
"750",2012-04-29,"Gross domestic product (GDP)",2.7
"751",2012-04-30,"Unemployment rate",8.2
"752",2012-04-30,"Federal funds rate",0.12
"753",2012-04-30,"Personal consumption expenditures (PCE)",2.06
"754",2012-04-30,"PCE excluding food and energy",2.04
"755",2012-04-30,"Gross domestic product (GDP)",2.7
"756",2012-05-01,"Unemployment rate",8.2
"757",2012-05-01,"Federal funds rate",0.12
"758",2012-05-01,"Personal consumption expenditures (PCE)",2.06
"759",2012-05-01,"PCE excluding food and energy",2.04
"760",2012-05-01,"Gross domestic product (GDP)",2.7
"761",2012-05-02,"Unemployment rate",8.2
"762",2012-05-02,"Federal funds rate",0.12
"763",2012-05-02,"Personal consumption expenditures (PCE)",2.06
"764",2012-05-02,"PCE excluding food and energy",2.04
"765",2012-05-02,"Gross domestic product (GDP)",2.7
"766",2012-05-03,"Unemployment rate",8.2
"767",2012-05-03,"Federal funds rate",0.12
"768",2012-05-03,"Personal consumption expenditures (PCE)",2.06
"769",2012-05-03,"PCE excluding food and energy",2.04
"770",2012-05-03,"Gross domestic product (GDP)",2.7
"771",2012-05-04,"Unemployment rate",8.2
"772",2012-05-04,"Federal funds rate",0.12
"773",2012-05-04,"Personal consumption expenditures (PCE)",2.06
"774",2012-05-04,"PCE excluding food and energy",2.04
"775",2012-05-04,"Gross domestic product (GDP)",2.7
"776",2012-05-05,"Unemployment rate",8.2
"777",2012-05-05,"Federal funds rate",0.12
"778",2012-05-05,"Personal consumption expenditures (PCE)",2.06
"779",2012-05-05,"PCE excluding food and energy",2.04
"780",2012-05-05,"Gross domestic product (GDP)",2.7
"781",2012-05-06,"Unemployment rate",8.2
"782",2012-05-06,"Federal funds rate",0.12
"783",2012-05-06,"Personal consumption expenditures (PCE)",2.06
"784",2012-05-06,"PCE excluding food and energy",2.04
"785",2012-05-06,"Gross domestic product (GDP)",2.7
"786",2012-05-07,"Unemployment rate",8.2
"787",2012-05-07,"Federal funds rate",0.12
"788",2012-05-07,"Personal consumption expenditures (PCE)",2.06
"789",2012-05-07,"PCE excluding food and energy",2.04
"790",2012-05-07,"Gross domestic product (GDP)",2.7
"791",2012-05-08,"Unemployment rate",8.2
"792",2012-05-08,"Federal funds rate",0.12
"793",2012-05-08,"Personal consumption expenditures (PCE)",2.06
"794",2012-05-08,"PCE excluding food and energy",2.04
"795",2012-05-08,"Gross domestic product (GDP)",2.7
"796",2012-05-09,"Unemployment rate",8.2
"797",2012-05-09,"Federal funds rate",0.12
"798",2012-05-09,"Personal consumption expenditures (PCE)",2.06
"799",2012-05-09,"PCE excluding food and energy",2.04
"800",2012-05-09,"Gross domestic product (GDP)",2.7
"801",2012-05-10,"Unemployment rate",8.2
"802",2012-05-10,"Federal funds rate",0.12
"803",2012-05-10,"Personal consumption expenditures (PCE)",2.06
"804",2012-05-10,"PCE excluding food and energy",2.04
"805",2012-05-10,"Gross domestic product (GDP)",2.7
"806",2012-05-11,"Unemployment rate",8.2
"807",2012-05-11,"Federal funds rate",0.12
"808",2012-05-11,"Personal consumption expenditures (PCE)",2.06
"809",2012-05-11,"PCE excluding food and energy",2.04
"810",2012-05-11,"Gross domestic product (GDP)",2.7
"811",2012-05-12,"Unemployment rate",8.2
"812",2012-05-12,"Federal funds rate",0.12
"813",2012-05-12,"Personal consumption expenditures (PCE)",2.06
"814",2012-05-12,"PCE excluding food and energy",2.04
"815",2012-05-12,"Gross domestic product (GDP)",2.7
"816",2012-05-13,"Unemployment rate",8.2
"817",2012-05-13,"Federal funds rate",0.12
"818",2012-05-13,"Personal consumption expenditures (PCE)",2.06
"819",2012-05-13,"PCE excluding food and energy",2.04
"820",2012-05-13,"Gross domestic product (GDP)",2.7
"821",2012-05-14,"Unemployment rate",8.2
"822",2012-05-14,"Federal funds rate",0.12
"823",2012-05-14,"Personal consumption expenditures (PCE)",2.06
"824",2012-05-14,"PCE excluding food and energy",2.04
"825",2012-05-14,"Gross domestic product (GDP)",2.7
"826",2012-05-15,"Unemployment rate",8.2
"827",2012-05-15,"Federal funds rate",0.12
"828",2012-05-15,"Personal consumption expenditures (PCE)",2.06
"829",2012-05-15,"PCE excluding food and energy",2.04
"830",2012-05-15,"Gross domestic product (GDP)",2.7
"831",2012-05-16,"Unemployment rate",8.2
"832",2012-05-16,"Federal funds rate",0.12
"833",2012-05-16,"Personal consumption expenditures (PCE)",2.06
"834",2012-05-16,"PCE excluding food and energy",2.04
"835",2012-05-16,"Gross domestic product (GDP)",2.7
"836",2012-05-17,"Unemployment rate",8.2
"837",2012-05-17,"Federal funds rate",0.12
"838",2012-05-17,"Personal consumption expenditures (PCE)",2.06
"839",2012-05-17,"PCE excluding food and energy",2.04
"840",2012-05-17,"Gross domestic product (GDP)",2.7
"841",2012-05-18,"Unemployment rate",8.2
"842",2012-05-18,"Federal funds rate",0.12
"843",2012-05-18,"Personal consumption expenditures (PCE)",2.06
"844",2012-05-18,"PCE excluding food and energy",2.04
"845",2012-05-18,"Gross domestic product (GDP)",2.7
"846",2012-05-19,"Unemployment rate",8.2
"847",2012-05-19,"Federal funds rate",0.12
"848",2012-05-19,"Personal consumption expenditures (PCE)",2.06
"849",2012-05-19,"PCE excluding food and energy",2.04
"850",2012-05-19,"Gross domestic product (GDP)",2.7
"851",2012-05-20,"Unemployment rate",8.2
"852",2012-05-20,"Federal funds rate",0.12
"853",2012-05-20,"Personal consumption expenditures (PCE)",2.06
"854",2012-05-20,"PCE excluding food and energy",2.04
"855",2012-05-20,"Gross domestic product (GDP)",2.7
"856",2012-05-21,"Unemployment rate",8.2
"857",2012-05-21,"Federal funds rate",0.12
"858",2012-05-21,"Personal consumption expenditures (PCE)",2.06
"859",2012-05-21,"PCE excluding food and energy",2.04
"860",2012-05-21,"Gross domestic product (GDP)",2.7
"861",2012-05-22,"Unemployment rate",8.2
"862",2012-05-22,"Federal funds rate",0.12
"863",2012-05-22,"Personal consumption expenditures (PCE)",2.06
"864",2012-05-22,"PCE excluding food and energy",2.04
"865",2012-05-22,"Gross domestic product (GDP)",2.7
"866",2012-05-23,"Unemployment rate",8.2
"867",2012-05-23,"Federal funds rate",0.12
"868",2012-05-23,"Personal consumption expenditures (PCE)",2.06
"869",2012-05-23,"PCE excluding food and energy",2.04
"870",2012-05-23,"Gross domestic product (GDP)",2.7
"871",2012-05-24,"Unemployment rate",8.2
"872",2012-05-24,"Federal funds rate",0.12
"873",2012-05-24,"Personal consumption expenditures (PCE)",2.06
"874",2012-05-24,"PCE excluding food and energy",2.04
"875",2012-05-24,"Gross domestic product (GDP)",2.7
"876",2012-05-25,"Unemployment rate",8.2
"877",2012-05-25,"Federal funds rate",0.12
"878",2012-05-25,"Personal consumption expenditures (PCE)",2.06
"879",2012-05-25,"PCE excluding food and energy",2.04
"880",2012-05-25,"Gross domestic product (GDP)",2.7
"881",2012-05-26,"Unemployment rate",8.2
"882",2012-05-26,"Federal funds rate",0.12
"883",2012-05-26,"Personal consumption expenditures (PCE)",2.06
"884",2012-05-26,"PCE excluding food and energy",2.04
"885",2012-05-26,"Gross domestic product (GDP)",2.7
"886",2012-05-27,"Unemployment rate",8.2
"887",2012-05-27,"Federal funds rate",0.12
"888",2012-05-27,"Personal consumption expenditures (PCE)",2.06
"889",2012-05-27,"PCE excluding food and energy",2.04
"890",2012-05-27,"Gross domestic product (GDP)",2.7
"891",2012-05-28,"Unemployment rate",8.2
"892",2012-05-28,"Federal funds rate",0.12
"893",2012-05-28,"Personal consumption expenditures (PCE)",2.06
